delta_t_s,768x432x30_size_byte,seg_len_s,768x432x30_bitrate,1024x576x30_size_byte,1024x576x30_bitrate,1280x720x30_size_byte,1280x720x30_bitrate,320x180x30_size_byte,320x180x30_bitrate,1280x720x60_size_byte,1280x720x60_bitrate,640x360x30_size_byte,640x360x30_bitrate,320x180x30_vmaf_score,640x360x30_vmaf_score,768x432x30_vmaf_score,1024x576x30_vmaf_score,1280x720x30_vmaf_score,1280x720x60_vmaf_score
00:00:04.080000,668286,4.08,1211081,1034108,1863999,1728879,2870732,181801,305757,2354772,4328778,450283,759004,10.939814853556484,24.926721729957777,29.12975497890296,32.49479367088607,34.67987025316459,100.0
00:00:08.080000,611087,4.0,1211081,957685,1863999,1431809,2870732,155580,305757,2123065,4328778,398865,759004,19.33741564853555,38.753093375527406,43.835749999999976,47.02430223628693,49.587156962025304,100.0
00:00:12.080000,571051,4.0,1211081,877771,1863999,1300868,2870732,139857,305757,2177073,4328778,350812,759004,20.772954393305437,37.43211345991559,43.112152405063284,46.23845586497893,49.60923767932488,100.0
00:00:16.080000,617681,3.9999999999999982,1211081,933276,1863999,1520281,2870732,155432,305757,2160877,4328778,382355,759004,20.180006192468625,39.23506873417724,45.60766658227844,49.82005240506327,53.49883590717299,100.0
00:00:20.080000,652874,4.0,1211081,996749,1863999,1472558,2870732,163442,305757,2233056,4328778,411561,759004,24.736447364016747,48.050494050632906,53.46903016877637,57.834390253164536,60.47096354430377,100.0
00:00:24.080000,520315,4.0,1211081,801058,1863999,1224260,2870732,126289,305757,1941625,4328778,318564,759004,18.136825146443513,28.232782616033752,30.57719497890295,29.99318147679325,30.815289662447245,100.0
00:00:28.080000,561791,4.0,1211081,905515,1863999,1388403,2870732,153295,305757,2157535,4328778,352642,759004,19.25063464435146,31.168958776371316,35.07437742616034,37.132879451476825,38.890336708860765,100.0
00:00:32.080000,709534,4.0,1211081,1060487,1863999,1638769,2870732,173849,305757,2290172,4328778,437162,759004,26.845739958158994,45.06373670886078,49.55153535864977,52.53484919831225,54.56704987341773,100.0
00:00:36.080000,584846,4.0,1211081,852833,1863999,1348011,2870732,150710,305757,2055469,4328778,374758,759004,22.44381104602511,42.391709493670895,46.84132725738396,49.79508514767935,52.41651852320675,100.0
00:00:40.080000,560821,4.0,1211081,913888,1863999,1429765,2870732,139105,305757,2169201,4328778,362795,759004,20.179527154811705,35.76747265822785,39.42601443037976,41.61179383966247,43.08181590717301,100.0
00:00:44.080000,607410,4.0,1211081,939819,1863999,1354548,2870732,141840,305757,2173522,4328778,353220,759004,17.005751799163175,34.77189911764707,39.58141184873948,42.4441862605042,45.2784400420168,100.0
00:00:48.080000,594078,4.0,1211081,917428,1863999,1519951,2870732,156148,305757,2102452,4328778,405134,759004,11.974731380753127,28.58122548523206,32.788798902953594,36.002183881856524,37.87645261603375,100.0
00:00:52.080000,624282,4.0,1211081,946851,1863999,1422919,2870732,160746,305757,2209463,4328778,386351,759004,9.276635230125521,20.336364092827,24.71693616033755,27.47633860759495,29.897154092827,100.0
00:00:56.080000,687371,4.0,1211081,1036454,1863999,1578343,2870732,179801,305757,2275376,4328778,434409,759004,12.54117251046025,25.815949324894515,30.330691265822797,33.52772164556962,35.873244683544286,100.0
00:01:00.080000,526950,4.0,1211081,821631,1863999,1231445,2870732,140051,305757,2005399,4328778,337059,759004,12.690292384937232,26.415581181434593,30.553137721519008,33.2758312236287,35.455199409282685,100.0
00:01:04.080000,587876,4.0,1211081,923170,1863999,1471065,2870732,138313,305757,2152483,4328778,366214,759004,14.270725941422596,27.508728607594946,32.1342675527426,34.644806244725736,37.04721637130802,100.0
00:01:08.080000,617242,4.0,1211081,966699,1863999,1491626,2870732,143509,305757,2289689,4328778,360831,759004,16.220979456066946,27.345322616033744,29.963375822784815,30.940936118143476,32.33677734177215,100.0
00:01:12.080000,581493,4.0,1211081,885714,1863999,1358801,2870732,150616,305757,2059512,4328778,372963,759004,14.25557970711297,25.192289198312253,28.558538059071708,30.41745459915614,32.15540611814345,100.0
00:01:16.080000,639204,4.0,1211081,987708,1863999,1537156,2870732,165384,305757,2220726,4328778,405596,759004,22.837019163179914,34.82550063291141,38.74180392405063,40.797062320675096,42.67388215189874,100.0
00:01:20.080000,586839,4.0,1211081,923755,1863999,1336050,2870732,140881,305757,2156729,4328778,350713,759004,20.75309753138075,34.85501476793249,38.39777481012658,40.09733341772156,41.95680029535863,100.0
00:01:24.080000,601738,4.0,1211081,891604,1863999,1415116,2870732,157671,305757,2039773,4328778,386472,759004,18.40708937238492,36.95021172995781,41.79486780590713,44.9363582700422,47.91053881856536,100.0
00:01:28.080000,616206,4.0,1211081,955231,1863999,1468126,2870732,157812,305757,2176469,4328778,399894,759004,11.778609581589956,24.927460928270065,30.454765611814338,33.392774050632895,36.205307130801685,100.0
00:01:32.080000,656471,4.0,1211081,968026,1863999,1505760,2870732,163927,305757,2221506,4328778,401853,759004,21.033786987447694,39.06365352941179,44.72235806722689,48.21655365546218,50.618792731092455,100.0
00:01:36.080000,536667,4.0,1211081,874175,1863999,1323990,2870732,137654,305757,2044075,4328778,343800,759004,30.031998242677826,48.560889282700394,53.43875848101267,56.931795063291176,58.98102725738398,100.0
00:01:40.080000,587236,4.0,1211081,897976,1863999,1383735,2870732,146754,305757,2186790,4328778,359903,759004,20.375525648535564,40.196471223628656,44.389229240506346,47.025901729957816,49.528357088607606,100.0
00:01:44.080000,590335,4.0,1211081,905935,1863999,1480464,2870732,153938,305757,2105231,4328778,379700,759004,15.117915084033617,30.027140843881845,34.02550324894514,36.12990379746835,37.344738185654,100.0
00:01:48.080000,696376,4.0,1211081,1076599,1863999,1547572,2870732,181901,305757,2395588,4328778,425781,759004,32.008030000000005,38.914600590717285,43.10303708860756,45.977382362869214,48.34670776371307,100.0
00:01:52.080000,487160,4.0,1211081,758197,1863999,1141971,2870732,111155,305757,1972048,4328778,277716,759004,25.471388953974888,47.59987966244729,51.4940782700422,53.02555873417722,54.19690801687763,100.0
00:01:56.080000,622896,4.0,1211081,972798,1863999,1498470,2870732,153605,305757,2134614,4328778,400396,759004,12.251638953974895,27.746210843881858,30.85484151898734,33.21937793248945,34.746637848101265,100.0
00:02:00.080000,641447,4.0,1211081,975811,1863999,1561263,2870732,149029,305757,2164140,4328778,400508,759004,12.602126820083683,23.961342236286917,26.063116582278493,27.693460295358655,28.816260843881874,100.0
00:02:04.080000,570392,4.0,1211081,873429,1863999,1341201,2870732,157421,305757,2113193,4328778,358218,759004,17.191089832635978,35.18671143459916,39.90905270042197,42.77627417721518,44.93149126582277,100.0
